timestamp,outage,duration_min,p_outage,expected_duration_if_outage_min,p_lower,p_upper,threshold,hour
2026-04-23 00:00:00,0,0.0,0.02559609078352557,72.34307350580421,0.01586026873496082,0.04579305127819678,0.06,00:00
2026-04-23 01:00:00,0,0.0,0.032832841184808205,63.351027495214694,0.020941318174560925,0.044735969501605646,0.06,01:00
2026-04-23 02:00:00,0,0.0,0.042336840239759595,73.99471316632602,0.03711296385835195,0.0613523505103785,0.06,02:00
2026-04-23 03:00:00,0,0.0,0.03121580582546344,64.67201395541935,0.030613777075210704,0.04366640874993434,0.06,03:00
2026-04-23 04:00:00,0,0.0,0.04123921873518272,105.0189898604527,0.015440908009705776,0.06271485169773884,0.06,04:00
2026-04-23 05:00:00,0,0.0,0.030193621588613127,80.01831944273422,0.021516711853554384,0.04550315231536182,0.06,05:00
2026-04-23 06:00:00,0,0.0,0.03281670226892322,98.50514852196162,0.02327593340868025,0.0515653408060258,0.06,06:00
2026-04-23 07:00:00,0,0.0,0.05038939136104303,80.01930113172375,0.04329820051546215,0.06429394964893892,0.06,07:00
2026-04-23 08:00:00,0,0.0,0.056011678028288846,70.11349534188234,0.04848734968356381,0.0679880657643304,0.06,08:00
2026-04-23 09:00:00,0,0.0,0.052767420616109534,88.16464685897412,0.03197338119063763,0.0779456717751604,0.06,09:00
2026-04-23 10:00:00,0,0.0,0.04502906631662889,83.77324386160824,0.03213675430520562,0.0713605249009161,0.06,10:00
2026-04-23 11:00:00,0,0.0,0.03384899817674497,78.86558590862982,0.027026110504432776,0.052788754296311094,0.06,11:00
2026-04-23 12:00:00,0,0.0,0.039538453457322174,77.21600619832702,0.03670493781679661,0.06317547461057128,0.06,12:00
2026-04-23 13:00:00,0,0.0,0.050624959135948576,63.57495764905742,0.036646973371777386,0.06789441890643728,0.06,13:00
2026-04-23 14:00:00,0,0.0,0.06125654249164618,78.29877878453891,0.046920696801529334,0.06915240275293005,0.06,14:00
2026-04-23 15:00:00,0,0.0,0.036648567015926,83.85262525226514,0.02264099504670085,0.06765501938279092,0.06,15:00
2026-04-23 16:00:00,0,0.0,0.05728458200998333,68.93601637118671,0.04164637494002186,0.07219220957809964,0.06,16:00
2026-04-23 17:00:00,0,0.0,0.04400712406089218,81.7912708040181,0.02049516259720963,0.07175655630982453,0.06,17:00
2026-04-23 18:00:00,0,0.0,0.0598764040393147,78.89642411604369,0.033250057291192854,0.09936645285607917,0.06,18:00
2026-04-23 19:00:00,0,0.0,0.11128497619102069,144.7489671567221,0.03440865940098972,0.18545322024935137,0.06,19:00
2026-04-23 20:00:00,0,0.0,0.08918722647232927,91.75105503261257,0.06304967479651051,0.11033927865675996,0.06,20:00
2026-04-23 21:00:00,0,0.0,0.05874684060648389,58.83308835790962,0.03805388026472971,0.08725985295412,0.06,21:00
2026-04-23 22:00:00,0,0.0,0.06167327352738028,131.8158813794034,0.013725815685020602,0.11878549103104724,0.06,22:00
2026-04-23 23:00:00,0,0.0,0.054133349273205005,54.23479575060758,0.03482559396609682,0.08265096239972208,0.06,23:00
